PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Profico, Antonio; Bellucci, Luca; Buzi, Costantino; Di Vincenzo, Fabio; Micarelli, Ileana; Strani, Flavia; Tafuri, Mary Anne; Manzi, Giorgio								Virtual Anthropology and its Application in Cultural Heritage Studies								STUDIES IN CONSERVATION				64	6			323	336		10.1080/00393630.2018.1507705			AUG 18 2019	2019										2							WOS:000474363700001		
J	Hassan, M. M.; Jones, E.; Buck, C. E.								A simple Bayesian approach to tree-ring dating								ARCHAEOMETRY				61	4			991	1010		10.1111/arcm.12466			AUG 2019	2019										0							WOS:000475655000015		
J	Cortell-Nicolau, Alfredo								Geomeasure: GIS and Scripting for Measuring Morphometric Variability								LITHIC TECHNOLOGY				44	3			153	165		10.1080/01977261.2019.1615805			JUL 3 2019	2019										1							WOS:000474716300004		
J	Haruda, A. F.; Varfolomeev, V.; Goriachev, A.; Yermolayeva, A.; Outram, A. K.								A new zooarchaeological application for geometric morphometric methods: Distinguishing Ovis aries morphotypes to address connectivity and mobility of prehistoric Central Asian pastoralists								JOURNAL OF ARCHAEOLOGICAL SCIENCE				107				50	57		10.1016/j.jas.2019.05.002			JUL 2019	2019										0							WOS:000472691700006		
J	Kobayashi, Kayoko; Hwang, Sung-Wook; Okochi, Takayuki; Lee, Won-Hee; Sugiyama, Junji								Non-destructive method for wood identification using conventional X-ray computed tomography data								JOURNAL OF CULTURAL HERITAGE				38				88	93		10.1016/j.culher.2019.02.001			JUL-AUG 2019	2019										0							WOS:000471746100011		
J	Madrid i Fernandez, Marisol; Sinner, Alejandro G.								Analysing technical choices: improving the archaeological classification of Late Republican Black Gloss pottery in north-eastern Hispania consumption centres								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				11	7			3155	3186		10.1007/s12520-018-0748-x			JUL 2019	2019										0							WOS:000471598800005		
J	Garot, Elsa; Couture-Veschambre, Christine; Manton, David John; Bekvalac, Jelena; Rouas, Patrick								Differential diagnoses of enamel hypomineralisation in an archaeological context: A postmedieval skeletal collection reassessment								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2785				2019										0							WOS:000473708500001		
J	Henton, Elizabeth; Roe, Joseph; Martin, Louise; Garrard, Andrew; Boles, Oliver; Lewis, Jamie; Thirlwall, Matthew; Jourdon, Anne-Lise								Epipalaeolithic and Neolithic gazelle hunting in the Badia of north-east Jordan. Reconstruction of seasonal movements of herds by stable isotope and dental microwear analyses								LEVANT											10.1080/00758914.2019.1598764				2019										0							WOS:000475233000001		
J	Moutsiou, Theodora; Kassianidou, Vasiliki								Geochemical characterisation of carnelian beads from Aceramic Neolithic Cyprus using portable X-ray Fluorescence Spectrometry (pXRF)								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				25				257	265		10.1016/j.jasrep.2019.04.013			JUN 2019	2019										0							WOS:000473218800023		
J	Zarzycka, Sandra E.; Surovell, Todd A.; Mackie, Madeline E.; Pelton, Spencer R.; Kelly, Robert L.; Goldberg, Paul; Dewey, Janet; Kent, Meghan								Long-distance transport of red ocher by Clovis foragers								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				25				519	529		10.1016/j.jasrep.2019.05.001			JUN 2019	2019										0							WOS:000473218800045		
J	Barnes, Kate M.; Whiffin, Ashleigh L.; Bulling, Mark T.								A preliminary study on the antibacterial activity and insect repellent properties of embalming fluids from the 18th Dynasty (1550-1292 BCE) in ancient Egypt								JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS				25				600	609		10.1016/j.jasrep.2019.05.032			JUN 2019	2019										0							WOS:000473218800051		
J	Cutts, Russell B.; Hlubik, Sarah; Campbell, Ross; Muschinski, Jana; Akuku, Painela; Braun, David R.; Patterson, David B.; O'Brien, Joseph J.; Garrison, Ervan; Harris, J. W. K.								Thermal curved-fragments: A method for identifying anthropogenic fire in the archaeological record								JOURNAL OF ARCHAEOLOGICAL SCIENCE				106				10	22		10.1016/j.jas.2019.03.006			JUN 2019	2019										0							WOS:000469158500002		
J	McLaughlin, T. Rowan								On Applications of Space-Time Modelling with Open-Source C-14 Age Calibration								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				26	2			479	501		10.1007/s10816-018-9381-3			JUN 2019	2019										0							WOS:000466447200003		
J	Goehring, Andrea; von Carnap-Bornheim, Claus; Hilberg, Volker; Mayr, Christoph; Grupe, Gisela								Diet and species-specific oxygen isotope relationship and isotope spacing between structural carbonate and phosphate in archaeological mammalian bones								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				11	6			2467	2487		10.1007/s12520-018-0704-9			JUN 2019	2019										1							WOS:000467539800007		
J	Szpak, Paul; Longstaffe, Fred J.; Macdonald, Rebecca; Millaire, Jean-Francois; White, Christine D.; Richards, Michael P.								Plant sulfur isotopic compositions are altered by marine fertilizers								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				11	6			2989	2999		10.1007/s12520-018-0716-5			JUN 2019	2019										0							WOS:000467539800040		
J	Moreau, L.; Ciornei, A.; Gjesfjeld, E.; Filzmoser, P.; Gibson, S. A.; Day, J.; Nigst, P. R.; Noiret, P.; Macleod, R. A.; Nita, L.; Anghelinu, M.								First Geochemical 'Fingerprinting' of Balkan and Prut Flint from Palaeolithic Romania: Potentials, Limitations and Future Directions								ARCHAEOMETRY				61	3			521	538		10.1111/arcm.12433			JUN 2019	2019										1							WOS:000467573800001		
J	Brown, Andrew A.; Crema, Enrico R.								Maori Population Growth in Pre-contact New Zealand: Regional Population Dynamics Inferred From Summed Probability Distributions of Radiocarbon Dates								JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY											10.1080/15564894.2019.1605429				2019										0							WOS:000469127800001		
J	Jouteau, Armance; Feruglio, Valerie; Bourdier, Camille; Camus, Hubert; Ferrier, Catherine; Santos, Frederic; Jaubert, Jacques								Choosing rock art locations: Geological parameters and social behaviours. The example of Cussac Cave (Dordogne, France)								JOURNAL OF ARCHAEOLOGICAL SCIENCE				105				81	96		10.1016/j.jas.2019.03.008			MAY 2019	2019										0							WOS:000471086900008		
J	Adams, Shaun; Grun, Rainer; McGahan, David; Zhao, Jian-Xin; Feng, Yuexing; Nguyen, Ai; Willmes, Malte; Quaresimin, Michael; Lobsey, Brett; Collard, Mark; Westaway, Michael C.								A strontium isoscape of north-east Australia for human provenance and repatriation								GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL				34	3			231	251		10.1002/gea.21728			MAY-JUN 2019	2019										0							WOS:000467402700001		
