PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Gaastra, J. S.								Animal Remains from Ritual Sites: A Cautionary Tale from the Eastern Adriatic								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	1			18	30		10.1002/oa.2627			JAN-FEB 2018	2018										0							WOS:000424248900002		
J	Nagaoka, Tomohito; Abe, Mikiko								Variation in the prevalence of deciduous caries in early modern human skeletons from Japan								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	1			31	43		10.1002/oa.2632			JAN-FEB 2018	2018										0							WOS:000424248900003		
J	Madden, G. D.; Karsten, J. K.; Ledogar, S. H.; Schmidt, R.; Sokhatsky, M. P.								Violence at Verteba Cave, Ukraine: New insights into the Late Neolithic intergroup conflict								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	1			44	53		10.1002/oa.2633			JAN-FEB 2018	2018										2							WOS:000424248900004		
J	Becker, S. K.; Goldstein, P. S.								Evidence of osteoarthritis in the Tiwanaku Colony, Moquegua, Peru (AD 500-1100)								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	1			54	64		10.1002/oa.2634			JAN-FEB 2018	2018										1							WOS:000424248900005		
J	Slaus, M.; Bedic, Z.; Bacic, A.; Bradic, J.; Vodanovic, M.; Brkic, H.								Endemic warfare and dental health in historic period archaeological series from Croatia								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	1			65	74		10.1002/oa.2635			JAN-FEB 2018	2018										1							WOS:000424248900006		
J	Li, J. S.; Bunn, H. T.; Zhang, S. Q.; Gao, X.								Equid prey acquisition and Archaic Homo adaptability at the early Late Pleistocene site of Xujiayao, China								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	1			75	82		10.1002/oa.2636			JAN-FEB 2018	2018										0							WOS:000424248900007		
J	Hudson, Nicholas; Gentelli, Liesel; Trampier, Joshua								Importing Clay for Local Pottery Production in the 4th Century b.c. at Tell el-Timai, Egypt								JOURNAL OF FIELD ARCHAEOLOGY				43	1			1	16		10.1080/00934690.2017.1410924			2018	2018										0							WOS:000424266600001		
J	Huckleberry, Gary; Caramanica, Ari; Quilter, Jeffrey								Dating the Ascope Canal System: Competition for Water during the Late Intermediate Period in the Chicama Valley, North Coast of Peru								JOURNAL OF FIELD ARCHAEOLOGY				43	1			17	30		10.1080/00934690.2017.1384662			2018	2018										0							WOS:000424266600002		
J	Bauer, Andrew M.								Remote Sensing Soils and Social Geographies of Difference: The Landscape Archaeology of Regur from Iron Age through Medieval Period Northern Karnataka, Southern India								JOURNAL OF FIELD ARCHAEOLOGY				43	1			31	43		10.1080/00934690.2017.1418611			2018	2018										1							WOS:000424266600003		
J	Franklin, Kathryn; Hammer, Emily								Untangling Palimpsest Landscapes in Conflict Zones: A "Remote Survey" in Spin Boldak, Southeast Afghanistan								JOURNAL OF FIELD ARCHAEOLOGY				43	1			58	73		10.1080/00934690.2017.1414522			2018	2018										4							WOS:000424266600005		
J	Brodie, Neil; Sabrine, Isber								The Illegal Excavation and Trade of Syrian Cultural Objects: A View from the Ground								JOURNAL OF FIELD ARCHAEOLOGY				43	1			74	84		10.1080/00934690.2017.1410919			2018	2018										7							WOS:000424266600006		
J	Palmer, David; Dillian, Carolyn								Preliminary investigations into the source of brick clay, Brookgreen Plantation, Georgetown County, South Carolina								NORTH AMERICAN ARCHAEOLOGIST				39	1			3	24		10.1177/0197693117749659			JAN 2018	2018										0							WOS:000423746800001		
