PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Kim, Minkoo								Rice, Ethnicity, and the Collation of Archaeobotanical Data for Prehistoric Korea								ARCHAEOLOGIES-JOURNAL OF THE WORLD ARCHAEOLOGICAL CONGRESS				10	2			168	193		10.1007/s11759-014-9256-5			AUG 2014	2014										3							WOS:000341080200004		
J	Chiarantini, L.; Benvenuti, M.								THE EVOLUTION OF PRE-ISLAMIC SOUTH ARABIAN COINAGE: A METALLURGICAL ANALYSIS OF COINS EXCAVATED IN SUMHURAM (KHOR-RORI, SULTANATE OF OMAN)								ARCHAEOMETRY				56	4			625	650		10.1111/arcm.12036			AUG 2014	2014										2							WOS:000339490300007		
J	Westley, Kieran; McNeary, Rory								Assessing the Impact of Coastal Erosion on Archaeological Sites: A Case Study from Northern Ireland								CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES				16	3			185	211		10.1179/1350503315Z.00000000082			AUG 2014	2014										5							WOS:000359303400002		
J	Ward, Ingrid								Depositional Context as the Foundation to Determining the Palaeolithic and Mesolithic Archaeological Potential of Offshore Wind Farm Areas in the Southern North Sea								CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES				16	3			212	235		10.1179/1350503315Z.00000000083			AUG 2014	2014										3							WOS:000359303400003		
J	Gearey, Benjamin R.; Fletcher, William; Fyfe, Ralph								Managing, Valuing, and Protecting Heritage Resources in the Twenty-First Century: Peatland Archaeology, the Ecosystem Services Framework, and the Kyoto Protocol								CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES				16	3			236	244		10.1179/1350503315Z.00000000084			AUG 2014	2014										7							WOS:000359303400004		
J	MacLeod, Ian D.; Harvey, Peter								Management of Historic Shipwrecks Through a Combination of Significance and Conservation Assessments								CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES				16	3			245	267		10.1179/1350503315Z.00000000085			AUG 2014	2014										1							WOS:000359303400005		
J	Daly, Cathy								A Framework for Assessing the Vulnerability of Archaeological Sites to Climate Change: Theory, Development, and Application								CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES				16	3			268	282		10.1179/1350503315Z.00000000086			AUG 2014	2014										10							WOS:000359303400006		
J	Macdonald, Danielle A.								The application of focus variation microscopy for lithic use-wear quantification								JOURNAL OF ARCHAEOLOGICAL SCIENCE				48				26	33		10.1016/j.jas.2013.10.003			AUG 2014	2014										31							WOS:000339037600004		
J	Rots, Veerle; Plisson, Hugues								Projectiles and the abuse of the use-wear method in a search for impact								JOURNAL OF ARCHAEOLOGICAL SCIENCE				48				154	165		10.1016/j.jas.2013.10.027			AUG 2014	2014										72							WOS:000339037600015		
J	Herrera, Alexander								Commodifying the Indigenous in the Name of Development: The Hybridity of Heritage in the Twenty-First-Century Andes								PUBLIC ARCHAEOLOGY				13	1-3			71	84		10.1179/1465518714Z.00000000055			AUG 2014	2014										2							WOS:000348663100007		
J	Coben, Lawrence S.								Sustainable Preservation: Creating Entrepreneurs, Opportunities, and Measurable Results								PUBLIC ARCHAEOLOGY				13	1-3			278	287		10.1179/1465518714Z.00000000072			AUG 2014	2014										3							WOS:000348663100024		
J	Fredriksen, Per Ditlef; Kristoffersen, Elna Siv; Zimmermann, Udo								Innovation and Collapse: Bucket-Shaped Pottery and Metalwork in the Terminal Migration Period								NORWEGIAN ARCHAEOLOGICAL REVIEW				47	2			119	140		10.1080/00293652.2014.945476			JUL 3 2014	2014										2							WOS:000343909500001		
J	Herva, Vesa-Pekka; Nordqvist, Kerkko; Lahelma, Antti; Ikaheimo, Janne								Cultivation of Perception and the Emergence of the Neolithic World								NORWEGIAN ARCHAEOLOGICAL REVIEW				47	2			141	160		10.1080/00293652.2014.950600			JUL 3 2014	2014										10							WOS:000343909500002		
J	Arponen, V. P. J.; Ribeiro, Artur								Understanding Rituals: A Critique of Representationalism								NORWEGIAN ARCHAEOLOGICAL REVIEW				47	2			161	179		10.1080/00293652.2014.938107			JUL 3 2014	2014										3							WOS:000343909500003		
J	Nativ, Assaf								Anthropocentricity and the Archaeological Record: Towards a Sociology of Things								NORWEGIAN ARCHAEOLOGICAL REVIEW				47	2			180	195		10.1080/00293652.2014.957235			JUL 3 2014	2014										2							WOS:000343909500004		
J	Eisenberg-Degen, Davida; Nash, George								Hunting and Gender as Reflected in the Central Negev Rock Art, Israel								TIME & MIND-THE JOURNAL OF ARCHAEOLOGY CONSCIOUSNESS AND CULTURE				7	3			259	277		10.1080/1751696X.2014.956009			JUL 3 2014	2014										2							WOS:000342509100003		
J	Mizin, V.								Footprint Stones: Summarizing a Century of Petrosomatoglyphic Study								TIME & MIND-THE JOURNAL OF ARCHAEOLOGY CONSCIOUSNESS AND CULTURE				7	3			297	307		10.1080/1751696X.2014.950503			JUL 3 2014	2014										0							WOS:000342509100005		
J	Shepherd, David								Variations on a Theme: An Account of Some Possible Kerbed Boulders in the South Pennines and Cumbria								TIME & MIND-THE JOURNAL OF ARCHAEOLOGY CONSCIOUSNESS AND CULTURE				7	3			309	320		10.1080/1751696X.2014.956011			JUL 3 2014	2014										0							WOS:000342509100006		
J	Fuentes, Agustin								Human Evolution, Niche Complexity, and the Emergence of a Distinctively Human Imagination								TIME & MIND-THE JOURNAL OF ARCHAEOLOGY CONSCIOUSNESS AND CULTURE				7	3			241	257		10.1080/1751696X.2014.945720			JUL 3 2014	2014										15							WOS:000342509100002		
J	Atwood, Roger								Under Mexico City								ARCHAEOLOGY				67	4			26	33					JUL-AUG 2014	2014										1							WOS:000349941400021		
J	Urbanus, Jason								Revisiting the Gokstad								ARCHAEOLOGY				67	4			34	38					JUL-AUG 2014	2014										0							WOS:000349941400022		
J	Merola, Marco								THE TOMB OF THE SILVER HANDS								ARCHAEOLOGY				67	4			39	43					JUL-AUG 2014	2014										0							WOS:000349941400023		
J	Curry, Andrew								TELLING A DIFFERENT STORY								ARCHAEOLOGY				67	4			44	48					JUL-AUG 2014	2014										0							WOS:000349941400024		
J	Griggs, Mary Beth								Egypt's Forgotten Dynasty								ARCHAEOLOGY				67	4			49	52					JUL-AUG 2014	2014										0							WOS:000349941400026		
J	Ravilious, Kate								Living on the Edge								ARCHAEOLOGY				67	4			55	+					JUL-AUG 2014	2014										0							WOS:000349941400027		
J	[Anonymous]								AIA Announces Winners of 2014 Cotsen Excavation Grants								ARCHAEOLOGY				67	4			65	66					JUL-AUG 2014	2014										0							WOS:000349941400028		
J	Lillios, Katina T.; Artz, Joe Alan; Waterman, Anna J.; Mack, Jennifer; Thomas, Jonathan T.; Trindade, Leonel; Luna, Isabel								The rock-cut tomb of Bolores (Torres Vedras): an interdisciplinary approach to understanding the social landscape of the Late Neolithic/Copper Age of the Iberian Peninsula								TRABAJOS DE PREHISTORIA				71	2			282	304		10.3989/tp.2014.12135			JUL-DEC 2014	2014										2							WOS:000347943900005		
J	Odriozola, Carlos P.; Burbidge, Christopher I.; Isabel Dias, M.; Hurtado, Victor								Dating of Las Mesas Copper Age walled enclosure (La Fuente, Spain)								TRABAJOS DE PREHISTORIA				71	2			343	352		10.3989/tp.2014.12138			JUL-DEC 2014	2014										1							WOS:000347943900008		
J	Pantou, Panagiota A.								An Architectural Perspective on Social Change and Ideology in Early Mycenaean Greece								AMERICAN JOURNAL OF ARCHAEOLOGY				118	3			369	400		10.3764/aja.118.3.0369			JUL 2014	2014										3							WOS:000345945200001		
J	Cosmopoulos, Michael B.								Cult, Continuity, and Social Memory: Mycenaean Eleusis and the Transition to the Early Iron Age								AMERICAN JOURNAL OF ARCHAEOLOGY				118	3			401	427		10.3764/aja.118.3.0401			JUL 2014	2014										4							WOS:000345945200002		
J	Privitera, Santo								Long-Term Grain Storage and Political Economy in Bronze Age Crete: Contextualizing Ayia Triada's Silo Complexes								AMERICAN JOURNAL OF ARCHAEOLOGY				118	3			429	449					JUL 2014	2014										5							WOS:000345945200003		
J	Blackwell, Nicholas G.								Making the Lion Gate Relief at Mycenae: Tool Marks and Foreign Influence								AMERICAN JOURNAL OF ARCHAEOLOGY				118	3			451	488		10.3764/aja.118.3.0451			JUL 2014	2014										6							WOS:000345945200004		
J	Gaignerot-Driessen, Florence								Goddesses Refusing to Appear? Reconsidering the Late Minoan III Figures with Upraised Arms								AMERICAN JOURNAL OF ARCHAEOLOGY				118	3			489	520					JUL 2014	2014										2							WOS:000345945200005		
J	Weiberg, Erika; Lindblom, Michael								THE EARLY HELLADIC II-III TRANSITION AT LERNA AND TIRYNS REVISITED: CHRONOLOGICAL DIFFERENCE OR SYNCHRONOUS VARIABILITY?								HESPERIA				83	3			383	407		10.2972/hesperia.83.3.0383			JUL-SEP 2014	2014										2							WOS:000343130600001		
J	Kolia, Erophile								ARCHAIC TERRACOTTA RELIEFS FROM ANCIENT HELIKE								HESPERIA				83	3			409	445		10.2972/hesperia.83.3.0409			JUL-SEP 2014	2014										2							WOS:000343130600002		
J	Mayor, Adrienne; Colarusso, John; Saunders, David								MAKING SENSE OF NONSENSE INSCRIPTIONS ASSOCIATED WITH AMAZONS AND SCYTHIANS ON ATHENIAN VASES								HESPERIA				83	3			447	493		10.2972/hesperia.83.3.0447			JUL-SEP 2014	2014										11							WOS:000343130600003		
J	Walbank, Michael B.								A RECORD OF THE ATHENIAN ADMINISTRATION OF DELOS AGORA I 5162								HESPERIA				83	3			495	502		10.2972/hesperia.83.3.0495			JUL-SEP 2014	2014										1							WOS:000343130600004		
J	Bowsky, Martha W. Baldwin								STAMPS ON ITALIAN SIGILLATA AND THE RENAISSANCE OF APTERA, CRETE								HESPERIA				83	3			503	568		10.2972/hesperia.83.3.0503			JUL-SEP 2014	2014										0							WOS:000343130600005		
J	Trogu, Antonio; Ranieri, Gaetano; Calcina, Sergio; Piroddi, Luca								The Ancient Roman Aqueduct of Karales (Cagliari, Sardinia, Italy): Applicability of Geophysics Methods to Finding the Underground Remains								ARCHAEOLOGICAL PROSPECTION				21	3			157	168		10.1002/arp.1471			JUL-SEP 2014	2014										2							WOS:000342740000001		
J	Papadopoulos, Nikos G.; Sarris, Apostolos; Parkinson, William A.; Gyucha, Attila; Yerkes, Richard W.; Duffy, Paul R.; Tsourlos, Panagiotis								Electrical Resistivity Tomography for the Modelling of Cultural Deposits and Geomophological Landscapes at Neolithic Sites: a Case Study from Southeastern Hungary								ARCHAEOLOGICAL PROSPECTION				21	3			169	183		10.1002/arp.1480			JUL-SEP 2014	2014										6							WOS:000342740000002		
J	Trinks, Immo; Neubauer, Wolfgang; Hinterleitner, Alois								First High-resolution GPR and Magnetic Archaeological Prospection at the Viking Age Settlement of Birka in Sweden								ARCHAEOLOGICAL PROSPECTION				21	3			185	199		10.1002/arp.1481			JUL-SEP 2014	2014										12							WOS:000342740000003		
J	Mojica, Alexis; Pastor, Louis; Camerlynck, Christian; Florsch, Nicolas; Tabbagh, Alain								Magnetic Prospection of the Pre-Columbian Archaeological Site of El Cano in the cultural region of Gran Cocle, Panama								ARCHAEOLOGICAL PROSPECTION				21	3			201	211		10.1002/arp.1482			JUL-SEP 2014	2014										0							WOS:000342740000004		
J	Bigman, Daniel P.; Lanzarone, Peter M.								Investigating Construction History, Labour Investment and Social Change at Ocmulgee National Monument's Mound A, Georgia, USA, Using Ground-penetrating Radar								ARCHAEOLOGICAL PROSPECTION				21	3			213	224		10.1002/arp.1483			JUL-SEP 2014	2014										4							WOS:000342740000005		
J	Gibbon, Victoria; Grimoud, Anne-Marie								Dental Pathology, Trauma and Attrition in a Zambian Iron Age Sample: A Macroscopic and Radiographic Investigation								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			439	458		10.1002/oa.2228			JUL-AUG 2014	2014										5							WOS:000340447900001		
J	Krajcarz, Magdalena; Krajcarz, Maciej Tomasz								The Red Fox (Vulpes vulpes) as an Accumulator of Bones in Cave-like Environments								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			459	475		10.1002/oa.2233			JUL-AUG 2014	2014										22							WOS:000340447900002		
J	Leduc, C.								New Mesolithic Hunting Evidence from Bone Injuries at Danish Maglemosian Sites: Lundby Mose and Mullerup (Sjaelland)								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			476	491		10.1002/oa.2234			JUL-AUG 2014	2014										4							WOS:000340447900003		
J	Aschero, C. A.; Izeta, A. D.; Hocsman, S.								New Data on South American Camelid Bone Size Changes during Middle-Late Holocene Transition: Osteometry at Penas Chicas 1.5 (Antofagasta de la Sierra, Argentinian Puna)								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			492	504		10.1002/oa.2235			JUL-AUG 2014	2014										5							WOS:000340447900004		
J	Pokines, J. T.								Mammalian Microfaunal Remains from Khonkho Wankane (Late Formative Period), Mollo Kontu (Middle Horizon Period) and Pukara de Khonkho (Late Intermediate Period) in the Bolivian Altiplano								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			505	516		10.1002/oa.2237			JUL-AUG 2014	2014										4							WOS:000340447900005		
J	McDonell, Amy; Oxenham, Marc F.								Localised Primary Canine Hypoplasia: Implications for Maternal and Infant Health at Man Bac, Vietnam, 4000-3500years BP								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			531	539		10.1002/oa.2239			JUL-AUG 2014	2014										4							WOS:000340447900007		
J	Basic, Z.; Anteric, I.; Skoric, E.; Vilovic, K.; Andelinovic, S.								Occipitalization of the Atlas in Archaeological Material from the 16th-19th Century								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			540	542		10.1002/oa.2240			JUL-AUG 2014	2014										1							WOS:000340447900008		
J	Arcini, Caroline; Ahlstrom, Torbjorn; Tagesson, Goran								Variations in Diet and Stature: Are They Linked? Bioarchaeology and Paleodietary Bayesian Mixing Models from Linkoping, Sweden								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				24	4			543	556		10.1002/oa.2247			JUL-AUG 2014	2014										11							WOS:000340447900009		
J	Stoulil, Jan; Fialova, Anna; Jamborova, Tereza; Kouril, Milan								Combined tannate/decanoate coatings								JOURNAL OF CULTURAL HERITAGE				15	4			339	344		10.1016/j.culher.2013.10.004			JUL-AUG 2014	2014										1							WOS:000339997800001		
J	Perito, Brunella; Marvasi, Massimiliano; Barabesi, Chiara; Mastromei, Giorgio; Bracci, Susanna; Vendrell, Marius; Tiano, Piero								A Bacillus subtilis cell fraction (BCF) inducing calcium carbonate precipitation: Biotechnological perspectives for monumental stone reinforcement								JOURNAL OF CULTURAL HERITAGE				15	4			345	351		10.1016/j.culher.2013.10.001			JUL-AUG 2014	2014										20							WOS:000339997800002		
J	Ariadna Perez, Nora; Lima, Enrique; Bosch, Pedro; Mendez-Vivar, Juan								Consolidating materials for the volcanic tuff in western Mexico								JOURNAL OF CULTURAL HERITAGE				15	4			352	358		10.1016/j.culher.2013.07.010			JUL-AUG 2014	2014										4							WOS:000339997800003		
J	Li, Qinglian; Xi, Sancai; Zhang, Xiwen								Conservation of paper relics by electrospun PVDF fiber membranes								JOURNAL OF CULTURAL HERITAGE				15	4			359	364		10.1016/j.culher.2013.09.003			JUL-AUG 2014	2014										8							WOS:000339997800004		
J	Angel Iglesias-Campos, Manuel; Ruiz-Recasens, Cristina; Diaz-Gonzalez, Elisa								First experiments for the use of microblasting technique with powdered cellulose as a new tool for dry cleaning artworks on paper								JOURNAL OF CULTURAL HERITAGE				15	4			365	372		10.1016/j.culher.2013.09.001			JUL-AUG 2014	2014										3							WOS:000339997800005		
J	Ciglanska, Michaela; Jancovicova, Viera; Havlinova, Bohuslava; Machatova, Zuzana; Brezova, Vlasta								The influence of pollutants on accelerated ageing of parchment with iron gall inks								JOURNAL OF CULTURAL HERITAGE				15	4			373	381		10.1016/j.culher.2013.09.004			JUL-AUG 2014	2014										7							WOS:000339997800006		
J	Genevaux, Jean-Michel; Le Dantec, Bertrand								Optimized anti-vibratory system for stretched canvas artwork hanging in a museum								JOURNAL OF CULTURAL HERITAGE				15	4			382	390		10.1016/j.culher.2013.08.001			JUL-AUG 2014	2014										0							WOS:000339997800007		
J	Montana, Giuseppe; Randazzo, Luciana; Castiglia, Angelina; La Russa, Mauro Francesco; La Rocca, Roberto; Bellomo, Sergio								Different methods for soluble salt removal tested on late-Roman cooking ware from a submarine excavation at the island of Pantelleria (Sicily, Italy)								JOURNAL OF CULTURAL HERITAGE				15	4			403	413		10.1016/j.culher.2013.07.011			JUL-AUG 2014	2014										4							WOS:000339997800009		
J	Balassone, Giuseppina; Toscano, Maria; Cavazzini, Giancarlo; De Bonis, Alberto; D'Orazio, Loredana; Joachimski, Michael; Weihe, Hogni; Prochaska, Walter; Mondillo, Nicola; Mormone, Angela; Petti, Carmela; Solpietro, Antonia								The history of the "Virgin with Child" sculpture (Ottaviano, Naples, southern Italy): Hypotheses from archaeometric multi-technique investigations								JOURNAL OF CULTURAL HERITAGE				15	4			414	423		10.1016/j.culher.2013.09.002			JUL-AUG 2014	2014										2							WOS:000339997800010		
J	Roje-Bonacci, Tanja; Miscevic, Predrag; Salvezani, Dasa								Non-destructive monitoring methods as indicators of damage cause on Cathedral of St. Lawrence in Trogir, Croatia								JOURNAL OF CULTURAL HERITAGE				15	4			424	431		10.1016/j.culher.2013.07.008			JUL-AUG 2014	2014										0							WOS:000339997800011		
J	Wu, Ping-Sheng; Hsieh, Chun-Ming; Hsu, Min-Fu								Using heritage risk maps as an approach to estimating the threat to materials of traditional buildings in Tainan (Taiwan)								JOURNAL OF CULTURAL HERITAGE				15	4			441	447		10.1016/j.culher.2013.10.005			JUL-AUG 2014	2014										8							WOS:000339997800013		
J	D'Agostino, Delia; Congedo, Paolo Maria; Cataldo, Rosella								Computational fluid dynamics (CFD) modeling of microclimate for salts crystallization control and artworks conservation								JOURNAL OF CULTURAL HERITAGE				15	4			448	457		10.1016/j.culher.2013.10.002			JUL-AUG 2014	2014										18							WOS:000339997800014		
J	Henry, Donald O.; Kadowaki, Seiji; Bergin, Sean M.								RECONSTRUCTING EARLY NEOLITHIC SOCIAL AND ECONOMIC ORGANIZATION THROUGH SPATIAL ANALYSIS AT AYN ABU NUKHAYLA, SOUTHERN JORDAN								AMERICAN ANTIQUITY				79	3			401	424		10.7183/0002-7316.79.3.401			JUL 2014	2014										4							WOS:000339702200003		
J	Rodning, Christopher B.								CHEROKEE TOWNS AND CALUMET CEREMONIALISM IN EASTERN NORTH AMERICA								AMERICAN ANTIQUITY				79	3			425	443		10.7183/0002-7316.79.3.425			JUL 2014	2014										2							WOS:000339702200004		
J	Kohler, Timothy A.; Ortman, Scott G.; Grundtisch, Katie E.; Fitzpatrick, Carly M.; Cole, Sarah M.								THE BETTER ANGELS OF THEIR NATURE: DECLINING VIOLENCE THROUGH TIME AMONG PREHISPANIC FARMERS OF THE PUEBLO SOUTHWEST								AMERICAN ANTIQUITY				79	3			444	464		10.7183/0002-7316.79.3.444			JUL 2014	2014										21							WOS:000339702200005		
J	Pailes, Matthew C.								SOCIAL NETWORK ANALYSIS OF EARLY CLASSIC HOHOKAM CORPORATE GROUP INEQUALITY								AMERICAN ANTIQUITY				79	3			465	486		10.7183/0002-7316.79.3.465			JUL 2014	2014										10							WOS:000339702200006		
J	Jones, Eric E.								SPATIOTEMPORAL ANALYSIS OF OLD WORLD DISEASES IN NORTH AMERICA, AD 1519-1807								AMERICAN ANTIQUITY				79	3			487	506		10.7183/0002-7316.79.3.487			JUL 2014	2014										8							WOS:000339702200007		
J	Byers, David A.; Picka, Craig; Ray, Jack H.								HEAT TREATMENT, OZARKS CHERTS, AND PREHISTORIC TOOLSTONE USE IN SOUTHWEST MISSOURI								AMERICAN ANTIQUITY				79	3			507	521		10.7183/0002-7316.79.3.507			JUL 2014	2014										0							WOS:000339702200008		
J	Waters, Michael R.; Stafford, Thomas W., Jr.								REDATING THE MILL IRON SITE, MONTANA: A REEXAMINATION OF GOSHEN COMPLEX CHRONOLOGY								AMERICAN ANTIQUITY				79	3			541	548		10.7183/0002-7316.79.3.541			JUL 2014	2014										5							WOS:000339702200010		
J	Osterkamp, W. R.; Green, Thomas J.; Reid, Kenneth C.; Cherkinsky, Alexander E.								ESTIMATION OF THE RADIOCARBON RESERVOIR EFFECT, SNAKE RIVER BASIN, NORTHWESTERN NORTH AMERICA								AMERICAN ANTIQUITY				79	3			549	560		10.7183/0002-7316.79.3.549			JUL 2014	2014										2							WOS:000339702200011		
J	Dye, Thomas S.								Wealth in old Hawai'i: good-year economics and the rise of pristine states								ARCHAEOLOGY IN OCEANIA				49	2			59	85		10.1002/arco.5034			JUL 2014	2014										8							WOS:000339952100001		
J	Pate, F. Donald; Owen, Timothy D.								Stable carbon and nitrogen isotopes as indicators of sedentism and territoriality in late Holocene South Australia								ARCHAEOLOGY IN OCEANIA				49	2			86	94		10.1002/arco.5019			JUL 2014	2014										7							WOS:000339952100002		
J	Thomas, Mike Seager								Stone use and avoidance on Easter Island: Red scoria from the topknot quarry at Puna Pau and other sources								ARCHAEOLOGY IN OCEANIA				49	2			95	109		10.1002/arco.5031			JUL 2014	2014										5							WOS:000339952100003		
J	Galipaud, Jean-Christophe; Reepmeyer, Christian; Torrence, Robin; Kelloway, Sarah; White, Peter								Long-distance connections in Vanuatu: New obsidian characterisations for the Makue site, Aore Island								ARCHAEOLOGY IN OCEANIA				49	2			110	116		10.1002/arco.5030			JUL 2014	2014										12							WOS:000339952100004		
