PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Mansour, M.								IMPACT OF STORAGE CONDITIONS ON BIODETERIORATION OF ANCIENT EGYPTIAN CHILD MUMMIES BY XEROPHILIC FUNGI								EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES				8	2			97	107					DEC 2019	2019										0							WOS:000455950900003		
J	Hussein, A.; Madkour, F.; Afifi, H.; Abd El Fatah, M.								A STUDY OF DETERIORATION PHENOMENA OF FOOT CASE CARTONNAGE FROM SAQQARA AREA, EGYPT								EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES				8	2			109	119					DEC 2019	2019										0							WOS:000455950900004		
J	Abouelata, M.								TRAVEL TO THE HEALING CENTERS IN THE EGYPTIAN TEMPLES: THE PROTOTYPE OF THE MODERN MEDICAL TOURISM								EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES				8	2			121	132					DEC 2019	2019										0							WOS:000455950900005		
J	Ali, A.								TWO TEXTS OF CARRYING THE PROCESSION OF THE GOD HORUS AND THE GODDESS HATHOR AT EDFU TEMPLE								EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES				8	2			133	141					DEC 2019	2019										0							WOS:000455950900006		
J	Soleiman, S.								THE RECENTLY DISCOVERED SARCOPHAGUS OF PTAHSHEPSES AT SAQQARA								EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES				8	2			143	154					DEC 2019	2019										0							WOS:000455950900007		
J	Sayed, M.								EGYPT AS A REWARD FOR THE KING IN PTOLEMAIC TEXTS								EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES				8	2			155	170					DEC 2019	2019										0							WOS:000455950900008		
J	Mohamed, H.								PRINTING MOLDS OF PAPER MONEY OF THE KHOREZM PEOPLE'S SOVIET REPUBLIC								EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES				8	2			171	186					DEC 2019	2019										0							WOS:000455950900009		
J	Profico, Antonio; Bellucci, Luca; Buzi, Costantino; Di Vincenzo, Fabio; Micarelli, Ileana; Strani, Flavia; Tafuri, Mary Anne; Manzi, Giorgio								Virtual Anthropology and its Application in Cultural Heritage Studies								STUDIES IN CONSERVATION				64	6			323	336		10.1080/00393630.2018.1507705			AUG 18 2019	2019										2							WOS:000474363700001		
J	Tse, Season								Microfade Testing for Heritage Institutions: A Canadian Experience								STUDIES IN CONSERVATION				64	6			337	351		10.1080/00393630.2018.1527984			AUG 18 2019	2019										0							WOS:000474363700002		
J	Macken, Aisling; Smith, Margaret J.								Solvent Vapour Use - The Unintended Consequences in Textile Conservation								STUDIES IN CONSERVATION				64	6			352	362		10.1080/00393630.2018.1544347			AUG 18 2019	2019										0							WOS:000474363700003		
J	Jesus Martin-del-Rio, Juan; Flores-Ales, Vicente; Javier Alejandre-Sanchez, Francisco; Javier Blasco-Lopez, Fco.								New Method for Historic Rammed-earth Wall Characterization: The Almohade Ramparts of Malaga and Seville								STUDIES IN CONSERVATION				64	6			363	372		10.1080/00393630.2018.1544429			AUG 18 2019	2019										0							WOS:000474363700004		
J	Ilan, David; Rowan, Yorke								Expediting Reincarnation in the Fifth Millennium BCE: Interpreting the Chalcolithic Ossuaries of the Southern Levant								OXFORD JOURNAL OF ARCHAEOLOGY				38	3			248	270		10.1111/ojoa.12171			AUG 2019	2019										0							WOS:000476752400001		
J	Gailledrat, Eric; Carme Belarte, Maria								Architecture and Urbanism in the Fortified Settlement of Pech Maho (Sigean, France) in the Third Century BC: A Social and Economic Perspective								OXFORD JOURNAL OF ARCHAEOLOGY				38	3			271	301		10.1111/ojoa.12173			AUG 2019	2019										0							WOS:000476752400002		
J	Sinner, Alejandro G.; Carreras, Cesar								Methods of Palaeodemography: The Case of the Iberian Oppida and Roman Cities in North-East Spain								OXFORD JOURNAL OF ARCHAEOLOGY				38	3			302	324		10.1111/ojoa.12175			AUG 2019	2019										0							WOS:000476752400003		
J	Russell, Miles								Mythmakers of Maiden Castle: Breaking the Siege Mentality of an Iron Age Hillfort								OXFORD JOURNAL OF ARCHAEOLOGY				38	3			325	342		10.1111/ojoa.12172			AUG 2019	2019										0							WOS:000476752400004		
J	Wright, Elizabeth; Tecce, Sofia; Albarella, Umberto								The use of Animals at Roman Roadside Settlements in Britain: Contextualizing some new Results from Ware, Hertfordshire								OXFORD JOURNAL OF ARCHAEOLOGY				38	3			343	376		10.1111/ojoa.12174			AUG 2019	2019										0							WOS:000476752400005		
J	Nishiaki, Y.; Maeda, O.; Kannari, T.; Nagai, M.; Healey, E.; Guliyev, F.; Campbell, S.								Obsidian provenance analyses at Goytepe, Azerbaijan: Implications for understanding Neolithic socioeconomies in the southern Caucasus								ARCHAEOMETRY				61	4			765	782		10.1111/arcm.12457			AUG 2019	2019										0							WOS:000475655000001		
J	Liuliu, L.; Ying, Q.; Mingyue, Y.; Qiao, H.								Study on the lithology of stone chimes (stone musical instruments in ancient China) and Lingbi stone								ARCHAEOMETRY				61	4			783	794		10.1111/arcm.12449			AUG 2019	2019										0							WOS:000475655000002		
J	Gutierrez Garcia-M, A.; Savin, M. C.; Cantin, N.; Boudoumi, S.; Lapuente, P.; Chapoulie, R.; Pianet, I.								NMR as a new tool for cultural heritage application: The provenance of ancient white marbles								ARCHAEOMETRY				61	4			795	808		10.1111/arcm.12456			AUG 2019	2019										0							WOS:000475655000003		
J	Schotsmans, E. M. J.; Toksoy-Koksal, F.; Brettell, R. C.; Bessou, M.; Corbineau, R.; Lingle, A. M.; Bouquin, D.; Blanchard, P.; Becker, K.; Castex, D.; Knusel, C. J.; Wilson, A. S.; Chapoulie, R.								"Not All That Is White Is Lime'-White Substances from Archaeological Burial Contexts: Analyses and Interpretations								ARCHAEOMETRY				61	4			809	827		10.1111/arcm.12453			AUG 2019	2019										0							WOS:000475655000004		
J	Wang, W. X.; Chen, Y.; Zhang, Z. Z.; Wang, C. S.								Transmittance Analysis for the Translucent White Porcelain of the Xing Kiln, China								ARCHAEOMETRY				61	4			828	836		10.1111/arcm.12460			AUG 2019	2019										0							WOS:000475655000005		
J	Rodler, A. S.; Klein, S.; Artioli, G.; Brons, C.								Probing the provenance of archaeological glaze colorants: Polychrome faunal reliefs of the Ishtar Gate and the Processional Way of Babylon								ARCHAEOMETRY				61	4			837	855		10.1111/arcm.12455			AUG 2019	2019										0							WOS:000475655000006		
J	Then-Obluska, J.; Wagner, B.								Glass beads and pendants from Meroitic and Nobadian Lower Nubia, Sudan: Chemical compositional analysis using laser ablation-inductively coupled plasma-mass spectrometry								ARCHAEOMETRY				61	4			856	873		10.1111/arcm.12465			AUG 2019	2019										0							WOS:000475655000007		
J	Koleini, F.; Machiridza, L. H.; Pikirayi, I.; Colomban, P.								The Chronology of Insiza Cluster Khami-Phase Sites in South-Western Zimbabwe: Compositional Insights from pXRF and Raman Analysis of Excavated Exotic Glass Finds								ARCHAEOMETRY				61	4			874	890		10.1111/arcm.12463			AUG 2019	2019										0							WOS:000475655000008		
J	Bower, N. W.; Lundstrom, C. C.; Hendin, D. B.								MC-ICP-MS analyses of tin isotopes in Roman-era bronze coins reveal temporal and spatial variation								ARCHAEOMETRY				61	4			891	905		10.1111/arcm.12459			AUG 2019	2019										1							WOS:000475655000009		
J	Welter, J. -M.								Contact tinning: A millennia-old plating technology								ARCHAEOMETRY				61	4			906	920		10.1111/arcm.12454			AUG 2019	2019										0							WOS:000475655000010		
J	Zheng, H. L.; Ma, C.; Dai, X. J.; Zhou, Y.								Development of an enzyme-linked immunosorbent assay based on the monoclonal antibody of Bombyx mori to detect ancient silk								ARCHAEOMETRY				61	4			921	932		10.1111/arcm.12458			AUG 2019	2019										0							WOS:000475655000011		
J	Coppe, J.; Lepers, C.; Clarenne, V.; Delaunois, E.; Pirlot, M.; Rots, V.								Ballistic Study Tackles Kinetic Energy Values of Palaeolithic Weaponry								ARCHAEOMETRY				61	4			933	956		10.1111/arcm.12452			AUG 2019	2019										0							WOS:000475655000012		
J	Yang, Y.; Ren, L.; Dong, G.; Cui, Y.; Liu, R.; Chen, G.; Wang, H.; Wilkin, S.; Chen, F.								Economic Change in the Prehistoric Hexi Corridor (4800-2200 bp), North-West China								ARCHAEOMETRY				61	4			957	976		10.1111/arcm.12464			AUG 2019	2019										0							WOS:000475655000013		
J	Buckland, P. I.; Buckland, P. C.								When a "Waterhole' Is Full of Dung: An Illustration of the Importance of Environmental Evidence for Refining Archaeological Interpretation of Excavated Features								ARCHAEOMETRY				61	4			977	990		10.1111/arcm.12461			AUG 2019	2019										0							WOS:000475655000014		
J	Hassan, M. M.; Jones, E.; Buck, C. E.								A simple Bayesian approach to tree-ring dating								ARCHAEOMETRY				61	4			991	1010		10.1111/arcm.12466			AUG 2019	2019										0							WOS:000475655000015		
J	Belisle, Veronique								Hallucinogens and Altered States of Consciousness in Cusco, Peru: A Path to Local Power during Wari State Expansion								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			375	391		10.1017/S0959774319000015			AUG 2019	2019										1							WOS:000475364600001		
J	Chen, Maa-ling								The Cultural Construction of Space and Migration in Paiwan, Taiwan								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			393	406		10.1017/S0959774319000027			AUG 2019	2019										0							WOS:000475364600002		
J	Sugiyama, Nawa; Fash, William L.; France, Christine A. M.								Creating the Cosmos, Reifying Power: A Zooarchaeological Investigation of Corporal Animal Forms in the Copan Valley								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			407	426		10.1017/S0959774319000040			AUG 2019	2019										0							WOS:000475364600003		
J	Alfsdotter, Clara								Social Implications of Unburied Corpses from Intergroup Conflicts: Postmortem Agency Following the Sandby borg Massacre								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			427	442		10.1017/S0959774319000039			AUG 2019	2019										0							WOS:000475364600004		
J	Bangsgaard, Pernille; Yeomans, Lisa; Darabi, Hojjat; Gregersen, Kristian Murphy; Olsen, Jesper; Richter, Tobias; Mortensen, Peder								Feasting on Wild Boar in the Early Neolithic. Evidence from an 11,400-year-old Placed Deposit at Tappeh Asiab, Central Zagros								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			443	463		10.1017/S095977431900009X			AUG 2019	2019										0							WOS:000475364600005		
J	Pasaric, Maja; Warren, Graeme								Interactions of Care and Control: Human-animal Relationships in Hunter-gatherer Communities in Near-contemporary Eastern Siberia and the Mesolithic of Northwest Europe								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			465	478		10.1017/S095977431900012X			AUG 2019	2019										0							WOS:000475364600006		
J	Motta, Ana Paula								From Top Down Under: New Insights into the Social Significance of Superimpositions in the Rock Art of Northern Kimberley, Australia								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			479	495		10.1017/S0959774319000052			AUG 2019	2019										0							WOS:000475364600007		
J	Ranta, Michael; Skoglund, Peter; Redei, Anna Cabak; Persson, Tomas								Levels of Narrativity in Scandinavian Bronze Age Petroglyphs								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			497	516		10.1017/S0959774319000118			AUG 2019	2019										0							WOS:000475364600008		
J	Duke, Guy S.								'Doing' Llama Face Stew: A Late Moche Culinary Assemblage as a Domestic Dedicatory Deposit								CAMBRIDGE ARCHAEOLOGICAL JOURNAL				29	3			517	535		10.1017/S0959774319000179			AUG 2019	2019										0							WOS:000475364600009		
J	Dai, Lingling; Kan, Xuhang; Zhang, Xinyu								An investigation into the strategy of pig husbandry combining zooarchaeological and stable isotopic approaches at Neolithic Houjiazhai, China								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2788				2019										0							WOS:000477275000001		
J	Fornaciari, Gino; Marinozzi, Silvia; Messineo, Daniela; Caldarini, Carla; Zavaroni, Federica; Iorio, Silvia; Sveva, Longo; Capuani, Silvia; Catalano, Paola; Gazzaniga, Valentina								A remarkable case of gout in the Imperial Rome: Surgery and diseases in antiquity by osteoarchaeological, paleopathological, and historical perspectives								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2792				2019										0							WOS:000477278800001		
J	Ledger, Marissa L.; Mitchell, Piers D.								Tracing zoonotic parasite infections throughout human evolution								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2786				2019										0							WOS:000477270900001		
J	Ornela Beltrame, Maria; Serna, Alejandro; Canal, Victoria; Prates, Luciano								Zoonotic parasites in feline coprolites from a holocenic mortuary context from eastern Patagonia (Argentina)								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2797				2019										0							WOS:000477274200001		
J	Pankowska, Anna; Galeta, Patrik; Spevackova, Petra Uhlik; Novacek, Karel								Violence in European medieval monasteries: Skeletal trauma in Tepla monastery (Czech Republic)								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2804				2019										0							WOS:000477277600001		
J	Peacock, Taylor; Bourbou, Chryssi; D'Ortenzio, Lori; Kahlon, Bonnie; Prowse, Tracy; Brickley, Megan B.								Mobility and rickets: Investigating Vitamin D deficiency and regional mobility in Aventicum, Roman Switzerland (first to third century CE)								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2781				2019										0							WOS:000477276400001		
J	Rothschild, Bruce M.								Evidence-based criteria for palaeopathological recognition: New methodology suggests that the rotator cuff condition will be amenable to reliable identification in the archeologic record								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2793				2019										0							WOS:000477269900001		
J	Watson, Jessica E.; Ledogar, Sarah Heins								A reevaluation of bird taxonomic identifications at Contact- and historic-era North American sites								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY											10.1002/oa.2799				2019										0							WOS:000477272500001		
J	Mehta, Jayur M.								Mound building and summit architecture at the Carson site, a Mississippian mound center in the southeastern United States								NORTH AMERICAN ARCHAEOLOGIST											10.1177/0197693119863975				2019										0							WOS:000477094300001		
