PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Pouget, M.; Youssef, S.; Dumas, P. -J.; Baumberger, T.; San Roman, A.; Torre, F.; Affre, L.; Medail, F.; Baumel, A.								Spatial mismatches between plant biodiversity facets and evolutionary legacy in the vicinity of a major Mediterranean city								ECOLOGICAL INDICATORS				60				736	745		10.1016/j.ecolind.2015.07.017			JAN 2016	2016										4							WOS:000367407000074		
J	Buchholz, Sascha								Natural peat bog remnants promote distinct spider assemblages and habitat specific traits								ECOLOGICAL INDICATORS				60				774	780		10.1016/j.ecolind.2015.08.025			JAN 2016	2016										4							WOS:000367407000078		
J	Loiseau, Nicolas; Gaertner, J. -C.; Kulbicki, M.; Merigot, B.; Legras, G.; Taquet, M.; Gaertner-Mazouni, N.								Assessing the multicomponent aspect of coral fish diversity: The impact of sampling unit dimensions								ECOLOGICAL INDICATORS				60				815	823		10.1016/j.ecolind.2015.08.019			JAN 2016	2016										1							WOS:000367407000082		
J	Stachura-Skierczynska, Krystyna; Kosinski, Ziemowit								Do factors describing forest naturalness predict the occurrence and abundance of middle spotted woodpecker in different forest landscapes?								ECOLOGICAL INDICATORS				60				832	844		10.1016/j.ecolind.2015.08.020			JAN 2016	2016										5							WOS:000367407000084		
J	Hofmann, Heidi; Blasco-Costa, Isabel; Knudsen, Rune; Matthaei, Christoph D.; Valois, Amanda; Lange, Katharina								Parasite prevalence in an intermediate snail host is subject to multiple anthropogenic stressors in a New Zealand river system								ECOLOGICAL INDICATORS				60				845	852		10.1016/j.ecolind.2015.08.022			JAN 2016	2016										5							WOS:000367407000085		
J	Parr, Thomas B.; Cronan, Christopher S.; Danielson, Thomas J.; Tsomides, Leonidas; Simon, Kevin S.								Aligning indicators of community composition and biogeochemical function in stream monitoring and ecological assessments								ECOLOGICAL INDICATORS				60				970	979		10.1016/j.ecolind.2015.08.049			JAN 2016	2016										7							WOS:000367407000098		
J	Gottardini, Elena; Cristofolini, Fabiana; Cristofori, Antonella; Camin, Federica; Calderisi, Marco; Ferretti, Marco								Consistent response of crown transparency, shoot growth and leaf traits on Norway spruce (Picea abies (L.) H. Karst.) trees along an elevation gradient in northern Italy								ECOLOGICAL INDICATORS				60				1041	1044		10.1016/j.ecolind.2015.09.006			JAN 2016	2016										5							WOS:000367407000105		
J	Colas, Fanny; Baudoin, Jean-Marc; Chauvet, Eric; Clivot, Hugues; Danger, Michael; Guerold, Francois; Devin, Simon								Dam-associated multiple-stressor impacts on fungal biomass and richness reveal the initial signs of ecosystem functioning impairment								ECOLOGICAL INDICATORS				60				1077	1090		10.1016/j.ecolind.2015.08.027			JAN 2016	2016										12							WOS:000367407000109		
J	Lam, Joy T. L.; Koldewey, Heather J.; Yasue, Mai; Vincent, Amanda C. J.								Comparing interview and trade data in assessing changes in the seahorse Hippocampus spp. trade following CITES listing								ORYX				50	1			36	46		10.1017/S0030605314000246			JAN 2016	2016										4							WOS:000367399900011		
J	Ramos, Rossano Marchetti; Pezzuti, Juarez C. B.; Vieira, Emerson M.								Age structure of the Vulnerable white-lipped peccary Tayassu pecari in areas under different levels of hunting pressure in the Amazon Forest								ORYX				50	1			56	62		10.1017/S0030605314000350			JAN 2016	2016										3							WOS:000367399900013		
J	Porfirio, Grasiela; Sarmento, Pedro; Leal, Stephanie; Fonseca, Carlos								How is the jaguar Panthera onca perceived by local communities along the Paraguai River in the Brazilian Pantanal?								ORYX				50	1			163	168		10.1017/S0030605314000349			JAN 2016	2016										9							WOS:000367399900026		
J	Scott, Ryan P.; Cullen, Alison C.								Reducing the life cycle environmental impacts of kesterite solar photovoltaics: comparing carbon and molybdenum back contact options								INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT				21	1			29	43		10.1007/s11367-015-0978-4			JAN 2016	2016										1							WOS:000367522200003		
