PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Knauth, Debora Schuck; Pires, Mateus Marques; Stenert, Cristina; Maltchik, Leonardo								Disentangling the role of niche-based and spatial processes on anuran beta diversity in temporary ponds along a forest-grassland transition								AQUATIC SCIENCES				81	4					UNSP 63	10.1007/s00027-019-0658-8			OCT 2019	2019										0							WOS:000477808400001		
J	Covarrubias-Garcia, Itzel; de Jonge, Nadieh; Arriaga, Sonia; Lund Nielsen, Jeppe								Effects of ozone treatment on performance and microbial community composition in biofiltration systems treating ethyl acetate vapours								CHEMOSPHERE				233				67	75		10.1016/j.chemosphere.2019.05.232			OCT 2019	2019										0							WOS:000477691500009		
J	Logemann, Anna; Schafberg, Michaela; Brockmeyer, Berk								Using the HPTLC-bioluminescence bacteria assay for the determination of acute toxicities in marine sediments and its eligibility as a monitoring assessment tool								CHEMOSPHERE				233				936	945		10.1016/j.chemosphere.2019.05.246			OCT 2019	2019										0							WOS:000477691500103		
J	Bogard, Matthew J.; Johnston, Sarah Ellen; Dornblaser, Mark M.; Spencer, Robert G. M.; Striegl, Robert G.; Butman, David E.								Extreme rates and diel variability of planktonic respiration in a shallow sub-arctic lake								AQUATIC SCIENCES				81	4					UNSP 60	10.1007/s00027-019-0657-9			OCT 2019	2019										0							WOS:000477569000001		
J	Hill, M. J.; Mathers, K. L.; Little, S.; Worrall, T.; Gunn, J.; Wood, P. J.								Ecological effects of a supra-seasonal drought on macroinvertebrate communities differ between near-perennial and ephemeral river reaches								AQUATIC SCIENCES				81	4					UNSP 62	10.1007/s00027-019-0659-7			OCT 2019	2019										0							WOS:000477569000002		
J	Martins, Karoline Pereira; da Silva Bandeira, Maiby Glorize; Palma-Silva, Cleber; Albertoni, Edelti Faria								Microcrustacean metacommunities in urban temporary ponds								AQUATIC SCIENCES				81	4					UNSP 56	10.1007/s00027-019-0655-y			OCT 2019	2019										0							WOS:000476490500001		
J	Witt, Brenda A.; Beyer, Jessica E.; Hallidayschult, Thayer C.; Hambright, K. David								Short-term toxicity effects of Prymnesium parvum on zooplankton community composition								AQUATIC SCIENCES				81	4					UNSP 55	10.1007/s00027-019-0651-2			OCT 2019	2019										0							WOS:000475697100001		
J	Bartosova, Martina; Schenkova, Jana; Polaskova, Vendula; Bojkova, Jindriska; Sorfova, Vanda; Horsak, Michal								Macroinvertebrate assemblages of the post-mining calcareous stream habitats: Are they similar to those inhabiting the natural calcareous springs?								ECOLOGICAL ENGINEERING				136				38	45		10.1016/j.ecoleng.2019.05.023			OCT 2019	2019										0							WOS:000475563600006		
J	Juza, Tomas; Duras, Jindrich; Blabolil, Petr; Sajdlova, Zuzana; Hess, Josef; Chocholouskova, Zdenka; Kubecka, Jan								Recovery of the Velky Bolevecky pond (Plzen, Czech Republic) via biomanipulation - Key study for management								ECOLOGICAL ENGINEERING				136				167	176		10.1016/j.ecoleng.2019.06.025			OCT 2019	2019										0							WOS:000475563600021		
J	Awuah, Kobby Fred; Cousins, Mark; Renaud, Mathieu; Jegede, Olukayode; Hale, Beverley; Siciliano, Steven Douglas								Toxicity assessment of metal mixtures to soil enzymes is influenced by metal dosing method								CHEMOSPHERE				232				366	376		10.1016/j.chemosphere.2019.05.213			OCT 2019	2019										0							WOS:000473121800039		
