PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Sand, Christophe								Ritually breaking Lapita pots: or, can we get into the minds of Oceanic first settlers? A discussion								ARCHAEOLOGY IN OCEANIA				48	1			2	6					APR 2013	2013																			
J	Eckert, Suzanne L.; Welch, Daniel R.								A commanding view of the Pacific: highland land use as viewed from Vainu'u, a multi-component site on Tutuila Island, American Samoa								ARCHAEOLOGY IN OCEANIA				48	1			13	25					APR 2013	2013																			
J	Brown, Steve								Archaeology of brutal encounter: heritage and bomb testing on Bikini Atoll, Republic of the Marshall Islands								ARCHAEOLOGY IN OCEANIA				48	1			26	39					APR 2013	2013																			
J	Barber, Ian								Molluscan mulching at the margins: investigating the development of a South Island Maori variation on Polynesian hard mulch agronomy								ARCHAEOLOGY IN OCEANIA				48	1			40	52					APR 2013	2013																			
J	Kelloway, Sarah J.; Gibbs, Martin; Craven, Steven								The sherds of conquistadors: a petrological study of ceramics from Graciosa Bay and Pamua, Solomon Islands								ARCHAEOLOGY IN OCEANIA				48	1			53	59					APR 2013	2013																			
J	Dore, Nicole; Patruno, Jolanda; Pottier, Eric; Crespi, Mattia								New Research in Polarimetric SAR Technique for Archaeological Purposes using ALOS PALSAR Data								ARCHAEOLOGICAL PROSPECTION				20	2			79	87					APR-JUN 2013	2013																			
J	Patruno, Jolanda; Dore, Nicole; Crespi, Mattia; Pottier, Eric								Polarimetric Multifrequency and Multi-incidence SAR Sensors Analysis for Archaeological Purposes								ARCHAEOLOGICAL PROSPECTION				20	2			89	96					APR-JUN 2013	2013																			
J	Linck, R.; Busche, T.; Buckreuss, S.; Fassbinder, J. W. E.; Seren, S.								Possibilities of Archaeological Prospection by High-resolution X-band Satellite Radar - a Case Study from Syria								ARCHAEOLOGICAL PROSPECTION				20	2			97	108					APR-JUN 2013	2013																			
J	Stewart, Christopher; Lasaponara, Rosa; Schiavon, Giovanni								ALOS PALSAR Analysis of the Archaeological Site of Pelusium								ARCHAEOLOGICAL PROSPECTION				20	2			109	116					APR-JUN 2013	2013																			
J	Cigna, Francesca; Tapete, Deodato; Lasaponara, Rosa; Masini, Nicola								Amplitude Change Detection with ENVISAT ASAR to Image the Cultural Landscape of the Nasca Region, Peru								ARCHAEOLOGICAL PROSPECTION				20	2			117	131					APR-JUN 2013	2013																			
J	Tapete, Deodato; Cigna, Francesca; Masini, Nicola; Lasaponara, Rosa								Prospection and Monitoring of the Archaeological Heritage of Nasca, Peru, with ENVISAT ASAR								ARCHAEOLOGICAL PROSPECTION				20	2			133	147					APR-JUN 2013	2013																			
J	Morrison, Keith								Mapping Subsurface Archaeology with SAR								ARCHAEOLOGICAL PROSPECTION				20	2			149	160					APR-JUN 2013	2013																			
J	Wallis, Neill J.								THE MATERIALITY OF SIGNS: ENCHAINMENT AND ANIMACY IN WOODLAND SOUTHEASTERN NORTH AMERICAN POTTERY								AMERICAN ANTIQUITY				78	2			207	226					APR 2013	2013																			
