PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Lopez, Michael J.; Schuckers, Michael								Predicting coin flips: using resampling and hierarchical models to help untangle the NHL's shoot-out								JOURNAL OF SPORTS SCIENCES				35	9			888	897					2017	2017																			
J	Brosnan, Kevin C.; Hayes, Kevin; Harrison, Andrew J.								Effects of false-start disqualification rules on response-times of elite-standard sprinters								JOURNAL OF SPORTS SCIENCES				35	10			929	935					2017	2017																			
J	Wisniowski, Arkadiusz								Combining Labour Force Survey data to estimate migration flows: the case of migration from Poland to the UK								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY				180	1			185	202					JAN 2017	2017																			
J	Page, Garritt L.; San Martin, Ernesto; Orellana, Javiera; Gonzalez, Jorge								Exploring complete school effectiveness via quantile value added								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY				180	1			315	340					JAN 2017	2017																			
J	Scangas, George A.; Remenschneider, Aaron K.; Su, Brooke M.; Shrime, Mark G.; Metson, Ralph								Cost Utility Analysis of Endoscopic Sinus Surgery for Chronic Rhinosinusitis With and Without Nasal Polyposis								LARYNGOSCOPE				127	1			29	37					JAN 2017	2017																			
J	Suitner, Caterina; Maass, Anne; Bettinsoli, Maria Laura; Carraro, Luciana; Kumar, Serena								Left-handers' struggle in a rightward wor(l)d: The relation between horizontal spatial bias and effort in directed movements								LATERALITY				22	1			60	89					2017	2017																			
J	Naumann, Johannes; Goldhammer, Frank								Time-on-task effects in digital reading are non-linear and moderated by persons' skills and tasks' demands								LEARNING AND INDIVIDUAL DIFFERENCES				53				1	16					JAN 2017	2017																			
J	Luong, Caecilia; Strobel, Anja; Wollschlaeger, Rachel; Greiff, Samuel; Vainikainen, Mari-Pauliina; Preckel, Franzis								Need for cognition in children and adolescents: Behavioral correlates and relations to academic achievement and potential								LEARNING AND INDIVIDUAL DIFFERENCES				53				103	113					JAN 2017	2017																			
J	Brooks, Scott C.; Brandt, Craig C.; Griffiths, Natalie A.								Estimating uncertainty in ambient and saturation nutrient uptake metrics from nutrient pulse releases in stream ecosystems								LIMNOLOGY AND OCEANOGRAPHY-METHODS				15	1			22	37					JAN 2017	2017																			
J	Reed, Gregory C.; Litvaitis, John A.; Ellingwood, Mark; Tate, Patrick; Broman, Derick J. A.; Siren, Alexej P. K.; Carroll, Rory P.								Describing habitat suitability of bobcats (Lynx rufus) using several sources of information obtained at multiple spatial scales								MAMMALIAN BIOLOGY				82				17	26					JAN 2017	2017																			
J	Grobler, J. Paul; Hayter, Kyla N.; Labuschagne, Christiaan; Nel, E. J.; Coetzer, Willem G.								The genetic status of naturally occurring black-nosed impala from northern South Africa								MAMMALIAN BIOLOGY				82				27	33					JAN 2017	2017																			
J	Uhrin, Marcel; Benda, Petr; Kanuch, Peter								Different responses of attic-dwelling bat species to landscape naturalness								MAMMALIAN BIOLOGY				82				48	56					JAN 2017	2017																			
J	Huck, Maren; Juarez, Cecilia P.; Fernandez-Duque, Eduardo								Relationship between moonlight and nightly activity patterns of the ocelot (Leopardus pardalis) and some of its prey species in Formosa, Northern Argentina								MAMMALIAN BIOLOGY				82				57	64					JAN 2017	2017																			
J	Abreu, Paulo Cesar; Marangoni, Juliano; Odebrecht, Clarisse								So close, so far: differences in long-term chlorophyll a variability in three nearby estuarine-coastal stations								MARINE BIOLOGY RESEARCH				13	1			9	21					2017	2017																			
J	Dias, Rafael Antunes; Mauricio, Giovanni Nachtigall; Bugoni, Leandro								Birds of the Patos Lagoon Estuary and adjacent coastal waters, southern Brazil: species assemblages and conservation implications								MARINE BIOLOGY RESEARCH				13	1			108	120					2017	2017																			
J	Secchi, Eduardo Resende; Botta, Silvina; Wiegand, Marcelo M.; Lopez, Luara Azevedo; Fruet, Pedro Friedrich; Genoves, Rodrigo Cezar; Di Tullio, Juliana Couto								Long-term and gender-related variation in the feeding ecology of common bottlenose dolphins inhabiting a subtropical estuary and the adjacent marine coast in the western South Atlantic								MARINE BIOLOGY RESEARCH				13	1			121	134					2017	2017																			
J	Hollins, Timothy J.; Weber, Nathan								Evidence of a metacognitive benefit to memory?								MEMORY				25	3			317	325					2017	2017																			
