PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	McMillan, Rhy; Weis, Dominique; Amini, Marghaleray; Bonjean, Dominique								Identifying the reworking and stratigraphic provenance of bones by exploring multivariate geochemical relationships with the 'Perio-spot' technique								JOURNAL OF ARCHAEOLOGICAL SCIENCE				88				1	13					DEC 2017	2017																			
J	Moedlinger, Marianne; Kuijpers, Maikel H. G.; Braekmans, Dennis; Berger, Daniel								Quantitative comparisons of the color of CuAs, CuSn, CuNi, and CuSb alloys								JOURNAL OF ARCHAEOLOGICAL SCIENCE				88				14	23					DEC 2017	2017																			
J	Samson, Alice V. M.; Wrapson, Lucy J.; Cartwright, Caroline R.; Sahy, Diana; Stacey, Rebecca J.; Cooper, Jago								Artists before Columbus: A multi-method characterization of the materials and practices of Caribbean cave art								JOURNAL OF ARCHAEOLOGICAL SCIENCE				88				24	36					DEC 2017	2017																			
J	Powell, Wayne; Mathur, Ryan; Bankoff, H. Arthur; Mason, Andrea; Bulatovic, Aleksandar; Filipovic, Vojislav; Godfrey, Linda								Digging deeper: Insights into metallurgical transitions in European prehistory through copper isotopes								JOURNAL OF ARCHAEOLOGICAL SCIENCE				88				37	46					DEC 2017	2017																			
J	Jambon, Albert								Bronze Age iron: Meteoritic or not? A chemical strategy								JOURNAL OF ARCHAEOLOGICAL SCIENCE				88				47	53					DEC 2017	2017																			
J	Schnitzler, Annick; Patou-Mathis, Marylene								Wolf (Canis lupus Linnaeus, 1758) domestication: why did it occur so late and at such high latitude? A hypothesis								ANTHROPOZOOLOGICA				52	2			149	153					DEC 2017	2017																			
J	Beslagic, Sarah; Delaigue, Olivier								The otter (Lutra lutra Linnaeus, 1758) in Belgium: an unpopular and maltreated species (19th-early 20th centuries)								ANTHROPOZOOLOGICA				52	2			155	170					DEC 2017	2017																			
J	Marchina, Charlotte; Lepetz, Sebastien; Salicis, Claude; Magail, Jerome								The skull on the hill. Anthropological and osteological investigation of contemporary horse skull ritual practices in central Mongolia (Arkhangai province)								ANTHROPOZOOLOGICA				52	2			171	183					DEC 2017	2017																			
J	Goffette, Quentin; Rots, Veerle; Polet, Caroline; Cauwe, Nicolas; Smith, Richard; Smith, Thierry								The worked bone industry and intrusive fauna associated with the prehistoric cave burials of Abri des Autours (Belgium)								ANTHROPOZOOLOGICA				52	2			185	201					DEC 2017	2017																			
J	Ferrandez Verdu, Trinitario; Pujol Fructuoso, Juan Antonio; Almarcha Martinez, Francisco								Historical evolution of Medieval fauna in the Lower Segura, Alicante (Spain)								ANTHROPOZOOLOGICA				52	2			203	214					DEC 2017	2017																			
B	Digard, Jean-Pierre								1914-1918, the other hecatomb: investigation into the loss of 1,114,000 horses and mules								ANTHROPOZOOLOGICA				52	2			215	216					DEC 2017	2017																			
J	Rice, Prudence M.; Pugh, Timothy W.								Water, centering, and the beginning of time at Middle Preclassic Nixtun-Ch'ich', Peten, Guatemala								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				1	16					DEC 2017	2017																			
J	Trabert, Sarah								Considering the indirect effects of colonialism: Example from a Great Plains middle ground								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				17	27					DEC 2017	2017																			
J	Cheung, Christina; Jing, Zhichun; Tang, Jigen; Weston, Darlene A.; Richards, Michael P.								Diets, social roles, and geographical origins of sacrificial victims at the royal cemetery at Yinxu, Shang China: New evidence from stable carbon, nitrogen, and sulfur isotope analysis								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				28	45					DEC 2017	2017																			
J	Price, Max; Grossman, Kathryn; Paulette, Tate								Pigs and the pastoral bias: The other animal economy in northern Mesopotamia (3000-2000 BCE)								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				46	62					DEC 2017	2017																			
J	Paris, Elizabeth H.; Serafin, Stanley; Masson, Marilyn A.; Peraza Lope, Carlos; Guzman, Cuauhtemoc Vidal; Russell, Bradley W.								Violence, desecration, and urban collapse at the Postclassic Maya political capital of Mayapan								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				63	86					DEC 2017	2017																			
J	Lycett, Stephen J.								Cultural patterns within and outside of the post-contact Great Plains as revealed by parfleche characteristics: Implications for areal arrangements in artifactual data								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				87	101					DEC 2017	2017																			
J	Pitarch Marti, Africa; Wei, Yi; Gao, Xing; Chen, Fuyou; d'Errico, Francesco								The earliest evidence of coloured ornaments in China: The ochred ostrich eggshell beads from Shuidonggou Locality 2								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				102	113					DEC 2017	2017																			
J	Rifkin, Riaan F.								Gaining ethnoarchaeological insight into prehistoric southern African pigment mining practices								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				114	133					DEC 2017	2017																			
J	Anthony, David W.; Brown, Dorcas R.								The dogs of war: A Bronze Age initiation ritual in the Russian steppes								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				134	148					DEC 2017	2017																			
J	Shaw, Ben; Langley, Michelle C.								Investigating the development of prehistoric cultural practices in the Massim region of eastern Papua New Guinea: Insights from the manufacture and use of shell objects in the Louisiade Archipelago								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				149	165					DEC 2017	2017																			
J	Muller, Antoine; Clarkson, Chris; Shipton, Ceri								Measuring behavioural and cognitive complexity in lithic technology throughout human evolution								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				166	180					DEC 2017	2017																			
J	Angiorama, Carlos I.; Florencia Becerra, M.								Reverberatory furnaces in the Puna of Jujuy, Argentina, during colonial times (from the end of the 16th to the beginning of the 19th century AD)								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				181	192					DEC 2017	2017																			
J	Thompson, Victor D.; Pluckhahn, Thomas J.; Colvin, Matthew H.; Cramb, Justin; Napora, Katharine G.; Lulewicz, Jacob; Ritchison, Brandon T.								Plummets, public ceremonies, and interaction networks during the Woodland period in Florida								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				193	206					DEC 2017	2017																			
J	Cave, Christine M.; Oxenham, Marc F.								Sex and the elderly: Attitudes to long-lived women and men in early Anglo-Saxon England								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				207	216					DEC 2017	2017																			
J	Pierce, Daniel E.								Finding class in the glass: Obsidian source as a costly signal								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				217	232					DEC 2017	2017																			
J	Meier, Jacqueline S.; Goring-Morris, A. Nigel; Munro, Natalie D.								Depositional histories of faunal remains from the Neolithic cultic site of Kfar HaHoresh, Israel								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				233	249					DEC 2017	2017																			
J	Zavodny, Emily; Culleton, Brendan J.; McClure, Sarah B.; Kennett, Douglas J.; Balen, Jacqueline								Minimizing risk on the margins: Insights on Iron Age agriculture from stable isotope analyses in central Croatia								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				250	261					DEC 2017	2017																			
J	Vaquero, Manuel; Cristina Fernandez-Laso, M.; Gema Chacon, M.; Romagnoli, Francesca; Rosell, Jordi; Sanudo, Pablo								Moving things: Comparing lithic and bone refits from a Middle Paleolithic site								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				262	280					DEC 2017	2017																			
J	Seligson, Kenneth; Negron, Tomas Gallareta; Ciau, Rossana May; Bey, George J., III								Burnt lime production and the Pre-Columbian Maya socio-economy: A case study from the northern Yucatan								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				281	294					DEC 2017	2017																			
J	Spengler, Robert N., III; Miller, Naomi F.; Neef, Reinder; Tourtellotte, Perry A.; Chang, Claudia								Linking agriculture and exchange to social developments of the Central Asian Iron Age								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				295	308					DEC 2017	2017																			
J	Trombold, Charles D.								Agricultural Intensification on the epiClassic northern Mesoamerican frontier: The La Quemada Terraces								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				309	319					DEC 2017	2017																			
J	Roux, Valentine; Bril, Blandine; Cauliez, Jessie; Goujon, Anne-Lise; Lara, Catherine; Manen, Claire; de Saulieu, Geoffroy; Zangato, Etienne								Persisting technological boundaries: Social interactions, cognitive correlations and polarization								JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY				48				320	335					DEC 2017	2017																			
J	Scarre, Chris								EDITORIAL								ANTIQUITY				91	360			1415	1420					DEC 2017	2017																			
J	Foulds, Frederick W. F.; Shuttleworth, Andrew; Sinclair, Anthony; Alsharekh, Abdullah M.; Al Ghamdi, Saud; Inglis, Robyn H.; Bailey, Geoff N.								A large handaxe from Wadi Dabsa and early hominin adaptations within the Arabian Peninsula								ANTIQUITY				91	360			1421	1434					DEC 2017	2017																			
J	Reynolds, Natasha; Dinnis, Rob; Bessudnov, Alexander A.; Deviese, Thibaut; Higham, Thomas								The Kostenki 18 child burial and the cultural and funerary landscape of Mid Upper Palaeolithic European Russia								ANTIQUITY				91	360			1435	1450					DEC 2017	2017																			
J	O'Connor, Sue; Mahirta; Carro, Sofia C. Samper; Hawkins, Stuart; Kealy, Shimona; Louys, Julien; Wood, Rachel								Fishing in life and death: Pleistocene fish-hooks from a burial context on Alor Island, Indonesia								ANTIQUITY				91	360			1451	1468					DEC 2017	2017																			
J	Meier, Jacqueline S.; Goring-Morris, A. Nigel; Munro, Natalie D.								Aurochs bone deposits at Kfar HaHoresh and the southern Levant across the agricultural transition								ANTIQUITY				91	360			1469	1483					DEC 2017	2017																			
J	Gibbs, Kevin; Isaksson, Sven; Craig, Oliver E.; Lucquin, Alexandre; Grishchenko, Vyacheslav A.; Farrell, Tom F. G.; Thompson, Anu; Kato, Hirofumi; Vasilevski, Alexander A.; Jordan, Peter D.								Exploring the emergence of an 'Aquatic' Neolithic in the Russian Far East: organic residue analysis of early hunter-gatherer pottery from Sakhalin Island								ANTIQUITY				91	360			1484	1500					DEC 2017	2017																			
J	Gomart, Louise; Weiner, Allon; Gabriele, Marzia; Durrenmath, Gilles; Sorin, Sabine; Angeli, Lucia; Colombo, Marta; Fabbri, Cristina; Maggi, Roberto; Panelli, Chiara; Pisani, Didier F.; Radi, Giovanna; Tozzi, Carlo; Binder, Didier								Spiralled patchwork in pottery manufacture and the introduction of farming to Southern Europe								ANTIQUITY				91	360			1501	1514					DEC 2017	2017																			
J	Dyer, Meaghan; Fibiger, Linda								Understanding blunt force trauma and violence in Neolithic Europe: the first experiments using a skin-skull-brain model and the Thames Beater								ANTIQUITY				91	360			1515	1528					DEC 2017	2017																			
J	Meller, Harald								Armies in the Early Bronze Age? An alternative interpretation of Unetice Culture axe hoards								ANTIQUITY				91	360			1529	1545					DEC 2017	2017																			
J	Stone, Jessica H.; Fitzpatrick, Scott M.; Napolitano, Matthew F.								Disproving claims for small-bodied humans in the Palauan archipelago								ANTIQUITY				91	360			1546	1560					DEC 2017	2017																			
J	Nielsen, Nicky								Cereal cultivation and nomad-sedentary interactions at the Late Bronze Age settlement of Zawiyet Umm el-Rakham								ANTIQUITY				91	360			1561	1573					DEC 2017	2017																			
J	Jin, Zhengyao; Liu, Ruiliang; Rawson, Jessica; Pollard, A. Mark								Revisiting lead isotope data in Shang and Western Zhou bronzes								ANTIQUITY				91	360			1574	1587					DEC 2017	2017																			
J	Liu, Yan								Exotica as prestige technology: the production of luxury gold in Western Han society								ANTIQUITY				91	360			1588	1602					DEC 2017	2017																			
J	Riris, Philip								On confluence and contestation in the Orinoco interaction sphere: the engraved rock art of the Atures Rapids								ANTIQUITY				91	360			1603	1619					DEC 2017	2017																			
J	Ammerman, Albert J.; Pearson, Charlotte L.; Kuniholm, Peter I.; Selleck, Bruce; Vio, Ettore								Beneath the Basilica of San Marco: new light on the origins of Venice								ANTIQUITY				91	360			1620	1629					DEC 2017	2017																			
J	Tsukamoto, Kenichiro								Reverential abandonment: a termination ritual at the ancient Maya polity of El Palmar								ANTIQUITY				91	360			1630	1646					DEC 2017	2017																			
J	James, N.								Franklin's fate: discoveries and prospects								ANTIQUITY				91	360			1647	1651					DEC 2017	2017																			
J	Kuzmin, Yaroslav V.								Theory and practice in Russian and Soviet archaeology: retrospect and prospect								ANTIQUITY				91	360			1652	1655					DEC 2017	2017																			
B	Baustian, Kathryn M.								Colonized bodies, worlds transformed: toward a global bioarchaeology of contact and colonialism								ANTIQUITY				91	360			1656	1658					DEC 2017	2017																			
B	Baustian, Kathryn M.								Bones of complexity: bioarchaeological case studies of social organization and skeletal biology								ANTIQUITY				91	360			1656	1658					DEC 2017	2017																			
B	Frischer, Bernard								The atlas of ancient Rome: biography and portraits of the city, vol 1, text and images, vol 2, tables and indexes								ANTIQUITY				91	360			1659	1662					DEC 2017	2017																			
J	Feinman, Gary M.								Aztec political economy: a new conceptual frame								ANTIQUITY				91	360			1663	1666					DEC 2017	2017																			
B	Meltzer, David J.								Dry Creek: archaeology and paleoecology of a Late Pleistocene Alaskan hunting camp								ANTIQUITY				91	360			1667	1668					DEC 2017	2017																			
B	Odriozola, Carlos P.; Garrido Cordero, Jose Angel; Villalobos Garcia, Rodrigo								JADE: Social interpretations of object-signs of Alpine jades in Neolithic Europe								ANTIQUITY				91	360			1668	1671					DEC 2017	2017																			
B	Evans, Christopher								Farmers, fishers, fowlers, hunters: knowledge generated by development-led archaeology about the Late Neolithic, the Early Bronze Age and the start of the Middle Bronze Age (2850-1500 cal BC) in the Netherlands								ANTIQUITY				91	360			1671	1672					DEC 2017	2017																			
B	Willis, Steven								Amphorae from the Kops Plateau (Nijmegen)								ANTIQUITY				91	360			1672	1674					DEC 2017	2017																			
B	Schierl, Thomas								Rural Settlement Patterns in Roman Spain. The Washbasin of Vera and the Camp de Tarragona- two Microregions in Comparison								ANTIQUITY				91	360			1674	1676					DEC 2017	2017																			
